kind,code,banner_label,courses_affected,used_as_include,used_as_exclude,example_courses,already_mapped_to,OUR_MAJOR_CODE
"Campuses","MAM","UOS Men's Campus","1","1","0","0308151","",""
"Campuses","MAW","UOS Women's Campus","1","1","0","0308151","",""
"Campuses","MDM","Medical Men's Campus","1","1","0","0900107","",""
"Campuses","MDW","Medical Women's Campus","1","1","0","0900107","",""
"Campuses","UOS","UOS Main Campus","1","1","0","0308151","",""
"Classes","Y4","Fourth Year","33","33","0","0302200 0302467 0401301","",""
"Classes","Y3","Third Year","27","27","0","0302200 0401301 0408451","",""
"Classes","Y5","Fifth Year","18","18","0","0302200 0401301 0402437","",""
"Classes","Y2","Second Year","4","4","0","0302200 1502201 1502220","",""
"Classes","Y6","Sixth Year","2","2","0","0402437 0402460","",""
"Classes","01","Year 1","1","1","0","0302200","",""
"Classes","02","Year 2","1","1","0","0302200","",""
"Classes","03","Year 3","1","1","0","0302200","",""
"Classes","04","Year 4","1","1","0","0302200","",""
"Classes","05","Year 5","1","1","0","0302200","",""
"Classes","FY","Foundation Year","1","1","0","0302200","",""
"Classes","M1","Medical- Phase2- Year1","1","1","0","0302200","",""
"Classes","M2","Medical- Phase2- Year2","1","1","0","0302200","",""
"Classes","M3","Medical- Phase2- Year3","1","1","0","0302200","",""
"Classes","M4","Medical- Phase3- Year4","1","1","0","0302200","",""
"Classes","M5","Medical- Phase3- Year5","1","1","0","0302200","",""
"Cohorts","200710","Fall 2007-2008 Cohort","14","0","14","0201102 0202111 0202112","",""
"Cohorts","200720","Spring 2007-2008 Cohort","14","0","14","0201102 0202111 0202112","",""
"Cohorts","200810","FALL 2008-2009 Cohort","13","0","13","0201102 0202111 0202112","",""
"Cohorts","200820","Spring 2008-2009 Cohort","13","0","13","0201102 0202111 0202112","",""
"Cohorts","200910","Fall 2009-2010 Cohort","13","0","13","0201102 0202111 0202112","",""
"Cohorts","200920","Spring 2009-2010 Cohort","13","0","13","0201102 0202111 0202112","",""
"Cohorts","201010","Fall 2010-2011 Cohort","13","0","13","0201102 0202111 0202112","",""
"Cohorts","201020","Spring 2010-2011 Cohort","13","0","13","0201102 0202111 0202112","",""
"Cohorts","200510","Fall 2005-2006 Cohort","10","0","10","0201102 0202111 0202112","",""
"Cohorts","200520","Spring 2005-2006 Cohort","10","0","10","0201102 0202111 0202112","",""
"Cohorts","200610","Fall 2006-2007 Cohort","10","0","10","0201102 0202111 0202112","",""
"Cohorts","200620","Spring 2006-2007 Cohort","10","0","10","0201102 0202111 0202112","",""
"Cohorts","200310","Fall 2003-2004 Cohort","9","0","9","0201102 0202111 0202112","",""
